response	cog	fusarium_response_hits	fusarium_response_total	fusarium_background_hits	fusarium_background_total	ophiostoma_response_hits	ophiostoma_response_total	ophiostoma_background_hits	ophiostoma_background_total	fusarium_response_percent	ophiostoma_response_percent	fusarium_within_species_or	fusarium_within_species_pvalue	ophiostoma_within_species_or	ophiostoma_within_species_pvalue	interaction_log_odds	interaction_se	interaction_odds_ratio	interaction_ci_lower	interaction_ci_upper	interaction_pvalue	direct_foreground_or	direct_foreground_pvalue	interaction_padj	direct_foreground_padj	cog_name	interaction_direction	log2_interaction_or
Induced	J	18	1213	366	6920	109	2220	398	7011	1.4839241549876339	4.90990990990991	0.23198667830120018	0.9999999999999747	0.8044025195134021	0.9751717468366439	1.2434806767908337	0.26977029292560895	3.4676622952254346	2.043636671059625	5.883962626044156	4.038219970730277e-6	3.4269608128912017	7.29282068509465e-8	8.884083935606609e-5	5.348068502402744e-7	Translation and ribosome biogenesis	Stronger in Ophiostoma	1.793963405847388
Induced	U	54	1213	448	6920	177	2220	460	7011	4.451772464962902	7.972972972972973	0.6283281372327689	0.9995969950168038	1.3800439346674473	8.051860220129388e-4	0.786904894751959	0.17889074882468475	2.1965872254459256	1.5469403727529698	3.1190571556456046	1.0885032686654508e-5	1.8591837605322756	6.12925102499171e-5	1.197353595531996e-4	2.660324654055699e-4	Intracellular trafficking and secretion	Stronger in Ophiostoma	1.135263789309903
Induced	K	97	1213	471	6920	71	2220	329	7011	7.9967023907666945	3.1981981981981984	1.239347634933499	0.042018737597145674	0.5805217235175508	0.9999878597086931	-0.7585166023297728	0.18086743589304213	0.46836067709535256	0.32856625342820867	0.6676331533151423	2.743549916906724e-5	0.38022890177086205	1.4089690657952769e-9	2.0119366057315974e-4	1.5498659723748045e-8	Transcription	Stronger in Fusarium	-1.0943081406131092
Induced	A	49	1213	306	6920	44	2220	298	7011	4.03957131079967	1.981981981981982	0.8927164346666876	0.783634883687077	0.36122757051638543	0.99999999999758	-0.9048644339936558	0.22953442821930622	0.4045967309483133	0.2580112956825771	0.6344625891707268	8.074668567875076e-5	0.4804418471441799	5.852944915568063e-4	4.4410677123312916e-4	0.0016095598517812174	RNA processing and modification	Stronger in Fusarium	-1.305443431599446
Induced	Z	14	1213	139	6920	58	2220	128	7011	1.1541632316570487	2.6126126126126126	0.5214670046762161	0.9953500976810538	1.8090244542266205	7.579092324181111e-4	1.2441318248272426	0.3356055004810636	3.4699209920130825	1.7974069517135733	6.6987343513578175	2.0962478960044218e-4	2.297061083100988	0.003928681352285911	9.223490742419456e-4	0.008643098975029006	Cytoskeleton	Stronger in Ophiostoma	1.7949028138903993
Induced	S	511	1213	2776	6920	568	2220	1973	7011	42.126957955482276	25.585585585585587	1.1061635923416389	0.06180705451722156	0.8286301161789352	0.9994884261032744	-0.28892267946521244	0.0865242306988135	0.7490701216659829	0.632224850731464	0.8875102687335188	8.401666363568182e-4	0.47244676367754873	6.575423816577553e-23	0.003080610999975	1.4465932396470616e-21	Function unknown	Stronger in Fusarium	-0.41682731686481356
Induced	C	66	1213	382	6920	127	2220	284	7011	5.441055234954658	5.7207207207207205	0.9816635583249852	0.57506721826844	1.7907233519354269	1.7362462810001593e-6	0.6012696768939799	0.18523074041856086	1.824433771851345	1.2689850727663683	2.623008465036959	0.0011701510767670135	1.0545064529994055	0.7571297012746502	0.003677617669839185	0.7931834965734431	Energy production and conversion	Stronger in Ophiostoma	0.8674487810918541
Induced	B	30	1213	163	6920	22	2220	136	7011	2.4732069249793898	0.990990990990991	1.0628019803385906	0.41524856505651947	0.4106795726094293	0.9999895325299936	-0.9509545697785324	0.311082119463271	0.38637202830522094	0.2099941671920116	0.7108928131331894	0.002236205518778565	0.39480477545138015	0.0011011144559731794	0.006149565176641053	0.0026916131146011053	Chromatin structure and dynamics	Stronger in Fusarium	-1.3719374419301864
Induced	P	71	1213	305	6920	58	2220	212	7011	5.85325638911789	2.6126126126126126	1.4540360139985171	0.005434739183050087	0.8078162284662571	0.9270395852413689	-0.587880268286736	0.2093547132839841	0.5555035561089129	0.3685365057974553	0.8373232936094626	0.0049841182155700384	0.4316084665840811	3.3495136607209668e-6	0.01218340008250454	1.8422325133965318e-5	Inorganic-ion transport and metabolism	Stronger in Fusarium	-0.8481319476937472
Induced	Y	1	1213	27	6920	12	2220	25	7011	0.08244023083264633	0.5405405405405406	0.18030527001151392	0.9945618313895778	1.9973435414821874	0.06455674415744578	2.405132966458129	1.0952120703099149	11.079903439760779	1.2950085645097782	94.79802960291214	0.028088854930271412	6.5852013954071715	0.04111760987540882	0.04987321455926464	0.07538228477158283	Nuclear structure	Stronger in Ophiostoma	3.4698734033877043
