ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0005839	proteasome core complex	14/535	14/1791	1	3.34766355140187	5.75393230507395	3.99242520282757e-08	1.55704582910275e-06	1.0086126828196e-06	gene_292/gene_569/gene_1227/gene_1935/gene_2134/gene_2882/gene_3478/gene_5127/gene_5360/gene_5807/gene_6019/gene_6274/gene_8006/gene_8617	14	interaction_vs_self	significant	up	CC	TRUE
GO:0005737	cytoplasm	64/535	129/1791	0.496124031007752	1.66085633557922	5.08387647905305	8.01211143076402e-07	1.56236172899898e-05	1.01205618072809e-05	gene_26/gene_463/gene_814/gene_1304/gene_1351/gene_1369/gene_1503/gene_1716/gene_1772/gene_1810/gene_1948/gene_2002/gene_2014/gene_2041/gene_2065/gene_2095/gene_2176/gene_2291/gene_2398/gene_2400/gene_3005/gene_3052/gene_3087/gene_3111/gene_3385/gene_3387/gene_3505/gene_3564/gene_3626/gene_3997/gene_4029/gene_4112/gene_4239/gene_4376/gene_4429/gene_4441/gene_4641/gene_4668/gene_4751/gene_4832/gene_4892/gene_5342/gene_5375/gene_5744/gene_5826/gene_5948/gene_6017/gene_6093/gene_6359/gene_6421/gene_6665/gene_7062/gene_7346/gene_7369/gene_7443/gene_7733/gene_7780/gene_8141/gene_8184/gene_8348/gene_8357/gene_8436/gene_8553/gene_8573	64	interaction_vs_self	significant	up	CC	TRUE
GO:0005789	endoplasmic reticulum membrane	9/535	9/1791	1	3.34766355140187	4.60693249957092	1.80587459441884e-05	0.000234763697274449	0.000152073650056323	gene_2644/gene_4675/gene_4960/gene_6177/gene_6191/gene_6365/gene_6931/gene_7793/gene_7820	9	interaction_vs_self	significant	up	CC	TRUE
GO:0030117	membrane coat	9/535	11/1791	0.818181818181818	2.73899745114698	3.77479936814787	0.000536223150239627	0.00522817571483636	0.00338667252782922	gene_1189/gene_1344/gene_1932/gene_2165/gene_2785/gene_5967/gene_6941/gene_7131/gene_8300	9	interaction_vs_self	significant	up	CC	TRUE
GO:0016469	proton-transporting two-sector ATPase complex	14/535	22/1791	0.636363636363636	2.1303313508921	3.48066145697851	0.00100304983203769	0.007823788689894	0.0050680412566115	gene_850/gene_1147/gene_2188/gene_2368/gene_4239/gene_4496/gene_4850/gene_4942/gene_5058/gene_6915/gene_7647/gene_7687/gene_7895/gene_8335	14	interaction_vs_self	significant	up	CC	TRUE
GO:0015935	small ribosomal subunit	8/535	10/1791	0.8	2.6781308411215	3.4721817183236	0.00149661567126893	0.00972800186324807	0.00630153966850077	gene_940/gene_1683/gene_2834/gene_3328/gene_4366/gene_5853/gene_6855/gene_7077	8	interaction_vs_self	significant	up	CC	TRUE
GO:0016459	myosin complex	5/535	5/1791	1	3.34766355140187	3.4299573441145	0.00234734744607401	0.0130780786281266	0.00847162988056785	gene_545/gene_546/gene_2020/gene_4213/gene_5739	5	interaction_vs_self	significant	up	CC	TRUE
GO:0005840	ribosome	44/535	103/1791	0.427184466019417	1.43006986661827	2.93345879493732	0.00296329280664771	0.014386257578776	0.00931903324940955	gene_581/gene_621/gene_868/gene_940/gene_1631/gene_1677/gene_1683/gene_1854/gene_1959/gene_2302/gene_2399/gene_2805/gene_2809/gene_2834/gene_3025/gene_3226/gene_3327/gene_3856/gene_4366/gene_4631/gene_4787/gene_4886/gene_5030/gene_5059/gene_5276/gene_5678/gene_5751/gene_5763/gene_5840/gene_5853/gene_6021/gene_6087/gene_6855/gene_6873/gene_6925/gene_7077/gene_7093/gene_7344/gene_7497/gene_7527/gene_7610/gene_7784/gene_7940/gene_8252	44	interaction_vs_self	significant	up	CC	TRUE
GO:0030131	clathrin adaptor complex	6/535	7/1791	0.857142857142857	2.8694259012016	3.23346703279369	0.00363744202144083	0.014386257578776	0.00931903324940955	gene_937/gene_1286/gene_2165/gene_5967/gene_6941/gene_7473	6	interaction_vs_self	significant	up	CC	TRUE
GO:0005739	mitochondrion	9/535	13/1791	0.692307692307692	2.3176132278936	3.11101661697028	0.00378176950262012	0.014386257578776	0.00931903324940955	gene_718/gene_1832/gene_2188/gene_2333/gene_3076/gene_4545/gene_4730/gene_4897/gene_6475	9	interaction_vs_self	significant	up	CC	TRUE
GO:0005783	endoplasmic reticulum	8/535	11/1791	0.727272727272727	2.43466440101954	3.11419103627833	0.00405766239401374	0.014386257578776	0.00931903324940955	gene_622/gene_2517/gene_2863/gene_2911/gene_4530/gene_5609/gene_6094/gene_7767	8	interaction_vs_self	significant	up	CC	TRUE
