gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	mrna_id	signalp_prediction	signalp_is_sp	signalp_other_score	signalp_sp_score	signalp_cs_position	dbcan_any_hit	dbcan_high_confidence	dbcan_n_tools	dbcan_ec	dbcan_hmm	dbcan_sub	dbcan_diamond	dbcan_recommended	dbcan_substrate	de_significant_padj_lt_0.05	de_strong_padj_lt_0.05_abs_log2fc_gt_1	de_direction	dbcan_any_hit_candidate	high_confidence_cazyme	significant_high_confidence_cazyme	strong_high_confidence_cazyme
gene_5980	interaction_vs_onu	7546.98083061133	-2.27658632010882	0.0846161754736432	-26.9048595893813	1.92672183028464e-159	6.10842180268019e-157	mRNA_5980	OTHER	FALSE	1.000000	0.000000		TRUE	TRUE	3	1.1.3.13:12	AA3_3(5-641)	AA3_e3(6-642)	AA3_3+AA3_3	AA3_3	lignin	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_1109	interaction_vs_onu	27494.895952857	-2.44581085129873	0.090914194102818	-26.9024091940217	2.0582073728978e-159	6.29223396857326e-157	mRNA_1109	SP	TRUE	0.000358	0.999610	CS pos: 18-19. Pr: 0.9816	TRUE	TRUE	3	3.2.1.20:20	GH31_1(349-910)	GH31_e82(350-911)	GH31_1+GH31_1	GH31_1	alpha-glucan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_2947	interaction_vs_onu	1030.53678945043	-3.16806390624081	0.123469859417218	-25.6586013881782	3.38970361589635e-145	9.06745717252274e-143	mRNA_2947	SP	TRUE	0.000223	0.999760	CS pos: 18-19. Pr: 0.9771	TRUE	TRUE	3	3.2.1.1:16|1.14.99.55:4	GH13_1(57-361)+CBM20(527-617)	GH13_e19(58-362)+CBM20_e25(529-618)	GH13_1+CBM20+GH13_1	GH13_1|CBM20_e25	alpha-glucan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_4724	interaction_vs_onu	454.526733539346	-4.53285984261335	0.183068816042447	-24.7604149117474	2.39468615514155e-135	5.25602909949017e-133	mRNA_4724	SP	TRUE	0.000220	0.999748	CS pos: 20-21. Pr: 0.9742	TRUE	TRUE	3	3.2.1.55:10	GH51_2(201-629)	GH51_e35(200-628)	GH51_2+GH51_2	GH51_2	arabinan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_4071	interaction_vs_onu	914.255153302194	-2.98267914377699	0.141308811779413	-21.1075240547139	6.78344682429536e-99	8.17835279098145e-97	mRNA_4071	OTHER	FALSE	1.000000	0.000040		TRUE	TRUE	3	-	GH35(21-222)	GH35_e11(22-206)	GH35	GH35_e11	-	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_5659	interaction_vs_onu	2849.55633332275	-2.46054823647221	0.139352609890224	-17.656994285292	8.99013085202604e-70	6.99595637212208e-68	mRNA_5659	SP	TRUE	0.000320	0.999622	CS pos: 21-22. Pr: 0.9787	TRUE	TRUE	3	3.2.1.21:10;3.2.1.37:4	GH3(89-302)	GH3_e32(89-303)	GH3	GH3_e32	beta-glucan;xylan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_2942	interaction_vs_onu	5528.35351706728	-1.64580723171678	0.101851034834894	-16.1589642597616	9.81976727272259e-59	5.56670250692088e-57	mRNA_2942	SP	TRUE	0.000211	0.999746	CS pos: 23-24. Pr: 0.9772	TRUE	TRUE	3	3.2.1.174:2	GH78(275-691)	GH78_e52(90-691)	GH78	GH78_e52	pectin	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_1439	interaction_vs_onu	3522.25300867635	-1.68105702706248	0.105521341150434	-15.9309672217483	3.86334620518471e-57	2.11988740489622e-55	mRNA_1439	SP	TRUE	0.001124	0.998859	CS pos: 20-21. Pr: 0.9476	TRUE	TRUE	3	3.2.1.21:43;3.2.1.-:1	GH3(90-311)	GH3_e16(91-312)	GH3	GH3_e16	beta-glucan;xyloglucan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_2946	interaction_vs_onu	3235.13609911483	-1.31952547557764	0.0845593122288685	-15.6047328294986	6.75920886975745e-55	3.46460047455831e-53	mRNA_2946	SP	TRUE	0.000309	0.999666	CS pos: 20-21. Pr: 0.9855	TRUE	TRUE	3	3.2.1.3:94|1.14.99.55:4	GH15(61-460)+CBM20(540-630)	GH15_e31(67-461)+CBM20_e25(541-630)	GH15+CBM20	GH15_e31|CBM20_e25	alpha-glucan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_4754	interaction_vs_onu	777.358381037307	-2.23285898422362	0.147307115091033	-15.1578488441903	6.72356304339017e-52	3.16229118963845e-50	mRNA_4754	OTHER	FALSE	0.999667	0.000343		TRUE	TRUE	3	-	GH154(14-399)	GH154_e10(15-399)	GH154	GH154_e10	arabinogalactan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_1307	interaction_vs_onu	679.355907960736	-2.21210911346544	0.14869649084366	-14.8766732887548	4.67157508368998e-50	2.07195247235162e-48	mRNA_1307	SP	TRUE	0.000245	0.999735	CS pos: 22-23. Pr: 0.9676	TRUE	TRUE	3	-	GH43_21(77-316)	GH43_e58(79-317)	GH43_21+GH43_21	GH43_21	-	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_5037	interaction_vs_onu	594.813071973089	-1.62364670587034	0.110065072049451	-14.7516980240639	3.00020020725314e-49	1.28408568870434e-47	mRNA_5037	OTHER	FALSE	1.000000	0.000025		TRUE	TRUE	3	3.2.1.37:21;3.2.1.55:3;3.2.1.-:1|-	GH43_11(4-305)+CBM91(354-567)	GH43_e285(5-306)+CBM91_e24(354-566)	GH43_11+CBM91+GH43_11	GH43_11|CBM91_e24	arabinan;xylan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_705	interaction_vs_onu	2364.12744061774	-2.01282522511458	0.137746753674173	-14.6125057137515	2.33759844666802e-48	9.71351587547486e-47	mRNA_705	SP	TRUE	0.000273	0.999705	CS pos: 18-19. Pr: 0.9571	TRUE	TRUE	3	-|-	GH35(29-364)	GH35_e22(31-364)+CBM67_e19(734-884)	GH35	GH35_e22|CBM67_e19	rhamnose	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_7976	interaction_vs_onu	7621.68050997381	-2.13531856154543	0.146262994111367	-14.5991716805658	2.8427826973702e-48	1.16991441776389e-46	mRNA_7976	OTHER	FALSE	1.000000	0.000000		TRUE	TRUE	3	3.2.1.39:7	GH16_4(177-503)	GH16_e102(178-504)	GH16_4+GH16_4	GH16_4	beta-glucan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_2751	interaction_vs_onu	272.937434103413	-2.08291877141318	0.148424750650138	-14.033500223443	9.72316726010479e-45	3.63451142997803e-43	mRNA_2751	SP	TRUE	0.000242	0.999747	CS pos: 22-23. Pr: 0.9788	TRUE	TRUE	3	-	GH16_3(55-328)	GH16_e177(56-328)	GH16_3+GH16_3	GH16_3	-	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_4755	interaction_vs_onu	148.495181830664	-3.80902303147341	0.287048782543107	-13.2696017649941	3.47422116066931e-40	1.10967660952721e-38	mRNA_4755	OTHER	FALSE	1.000000	0.000003		TRUE	TRUE	3	-	GH88(87-491)	GH88_e4(89-493)	GH88	GH88_e4	host glycan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_7979	interaction_vs_onu	17025.6511081037	-2.33394965545709	0.176527917763072	-13.2214195070811	6.60063751070515e-40	2.08985760019364e-38	mRNA_7979	SP	TRUE	0.000211	0.999797	CS pos: 21-22. Pr: 0.9755	TRUE	TRUE	3	3.2.1.21:4;3.2.1.-:5	GH3(103-322)	GH3_e147(103-323)	GH3	GH3_e147	beta-glucan;xyloglucan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_4325	interaction_vs_onu	2108.0554363707	-1.91757847731662	0.1491132302977	-12.8598815375955	7.5692582849731e-38	2.20383846664523e-36	mRNA_4325	SP	TRUE	0.002309	0.997654	CS pos: 31-32. Pr: 0.8439	TRUE	TRUE	3	3.2.1.177:12	GH31(262-692)	GH31_e31(262-692)	GH31	GH31_e31	xyloglucan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_1927	interaction_vs_onu	589.038424063532	-1.38930476021691	0.123915287051716	-11.2117301526895	3.57143094363111e-29	7.79883899935774e-28	mRNA_1927	OTHER	FALSE	1.000000	0.000000		TRUE	TRUE	3	3.2.1.8:2	GH11(298-468)	GH11_e16(300-469)	GH11	GH11_e16	xylan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_6122	interaction_vs_onu	1406.53940111095	-1.53687395196474	0.137589607797163	-11.1699857029205	5.71900851945684e-29	1.22693516106643e-27	mRNA_6122	OTHER	FALSE	1.000000	0.000028		TRUE	TRUE	3	3.2.1.23:12	GH2_10(47-1001)	GH2_e61(47-1004)	GH2_10+GH2_10	GH2_10	beta-galactan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_4614	interaction_vs_onu	816.246354231588	-0.902190376471998	0.0897881532951584	-10.0479889981282	9.37612210528324e-24	1.50298886182068e-22	mRNA_4614	OTHER	FALSE	1.000000	0.000004		TRUE	TRUE	3	-	GH105(47-380)	GH105_e57(49-380)	GH105	GH105_e57	-	TRUE	FALSE	down	TRUE	TRUE	TRUE	FALSE
gene_8548	interaction_vs_onu	135.107668846134	-2.09533077678589	0.208567997178106	-10.0462717441573	9.5408961812058e-24	1.52654338899293e-22	mRNA_8548	SP	TRUE	0.014526	0.985470	CS pos: 23-24. Pr: 0.4795	TRUE	TRUE	3	3.2.1.78:33	GH5_7(58-333)	GH5_e89(59-334)	GH5_7+GH5_7	GH5_7	beta-mannan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
