ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_numeric_id	pathway_name	raw_prefixes_observed
map03010	map03010	60/598	107/2403	0.560747663551402	2.25330541055856	7.63240402551827	1.71607439515619e-12	5.19970541732326e-10	5.03983953945871e-10	TRINITY_DN1141_c0_g1/TRINITY_DN1308_c0_g1/TRINITY_DN1375_c0_g1/TRINITY_DN1377_c0_g1/TRINITY_DN1467_c0_g1/TRINITY_DN1469_c0_g1/TRINITY_DN1473_c0_g1/TRINITY_DN150_c0_g1/TRINITY_DN1532_c0_g1/TRINITY_DN1644_c0_g1/TRINITY_DN1726_c0_g1/TRINITY_DN1761_c0_g1/TRINITY_DN17659_c0_g1/TRINITY_DN1820_c0_g1/TRINITY_DN2008_c0_g1/TRINITY_DN2052_c0_g1/TRINITY_DN2122_c0_g1/TRINITY_DN221_c0_g1/TRINITY_DN222_c0_g1/TRINITY_DN229_c0_g1/TRINITY_DN2293_c0_g1/TRINITY_DN2304_c0_g1/TRINITY_DN2345_c0_g1/TRINITY_DN2394_c0_g1/TRINITY_DN2490_c0_g1/TRINITY_DN2600_c0_g1/TRINITY_DN2608_c0_g1/TRINITY_DN2774_c0_g1/TRINITY_DN2945_c0_g1/TRINITY_DN3_c0_g1/TRINITY_DN3042_c0_g1/TRINITY_DN3081_c0_g1/TRINITY_DN3107_c0_g1/TRINITY_DN3506_c0_g1/TRINITY_DN3773_c0_g1/TRINITY_DN419_c0_g1/TRINITY_DN425_c0_g1/TRINITY_DN4324_c0_g1/TRINITY_DN4425_c0_g1/TRINITY_DN4433_c0_g1/TRINITY_DN4639_c0_g1/TRINITY_DN4699_c0_g1/TRINITY_DN4749_c0_g1/TRINITY_DN487_c0_g1/TRINITY_DN4920_c1_g1/TRINITY_DN500_c0_g1/TRINITY_DN5462_c0_g1/TRINITY_DN5780_c0_g1/TRINITY_DN5975_c0_g1/TRINITY_DN624_c0_g1/TRINITY_DN677_c0_g1/TRINITY_DN6841_c0_g1/TRINITY_DN7140_c0_g1/TRINITY_DN7147_c0_g1/TRINITY_DN751_c0_g1/TRINITY_DN7613_c0_g2/TRINITY_DN775_c0_g1/TRINITY_DN839_c0_g1/TRINITY_DN879_c0_g1/TRINITY_DN899_c0_g1	60	interaction_vs_self	significant	down	TRUE	3010	map03010	ko,map
map05010	map05010	34/598	55/2403	0.618181818181818	2.48409851018547	6.4075723402284	4.69478335650003e-09	7.11259678509755e-07	6.89391871822899e-07	TRINITY_DN1052_c0_g1/TRINITY_DN1092_c0_g1/TRINITY_DN1151_c0_g1/TRINITY_DN1228_c0_g1/TRINITY_DN123_c0_g1/TRINITY_DN1329_c0_g1/TRINITY_DN160_c0_g1/TRINITY_DN1613_c0_g1/TRINITY_DN16577_c0_g1/TRINITY_DN1824_c0_g1/TRINITY_DN18445_c0_g1/TRINITY_DN1880_c0_g1/TRINITY_DN1890_c0_g1/TRINITY_DN1989_c0_g1/TRINITY_DN1990_c1_g1/TRINITY_DN2153_c0_g1/TRINITY_DN2290_c0_g1/TRINITY_DN2312_c0_g1/TRINITY_DN2936_c0_g1/TRINITY_DN3116_c0_g1/TRINITY_DN3236_c0_g1/TRINITY_DN3450_c0_g1/TRINITY_DN3903_c0_g1/TRINITY_DN395_c0_g1/TRINITY_DN4048_c0_g1/TRINITY_DN420_c0_g1/TRINITY_DN4614_c1_g1/TRINITY_DN506_c0_g1/TRINITY_DN5398_c0_g1/TRINITY_DN5975_c0_g1/TRINITY_DN6302_c0_g1/TRINITY_DN7_c1_g1/TRINITY_DN7695_c0_g1/TRINITY_DN794_c0_g1	34	interaction_vs_self	significant	down	TRUE	5010	map05010	ko,map
map05012	map05012	34/598	57/2403	0.596491228070175	2.39693715895089	6.1425511869971	1.74765718442486e-08	1.76513375626911e-06	1.71086440159487e-06	TRINITY_DN1092_c0_g1/TRINITY_DN1151_c0_g1/TRINITY_DN1228_c0_g1/TRINITY_DN123_c0_g1/TRINITY_DN1242_c0_g1/TRINITY_DN1329_c0_g1/TRINITY_DN1461_c0_g1/TRINITY_DN160_c0_g1/TRINITY_DN1613_c0_g1/TRINITY_DN16577_c0_g1/TRINITY_DN1824_c0_g1/TRINITY_DN18445_c0_g1/TRINITY_DN1880_c0_g1/TRINITY_DN1890_c0_g1/TRINITY_DN1990_c1_g1/TRINITY_DN2153_c0_g1/TRINITY_DN2290_c0_g1/TRINITY_DN2312_c0_g1/TRINITY_DN2936_c0_g1/TRINITY_DN3116_c0_g1/TRINITY_DN3236_c0_g1/TRINITY_DN3450_c0_g1/TRINITY_DN3755_c0_g1/TRINITY_DN3903_c0_g1/TRINITY_DN395_c0_g1/TRINITY_DN4048_c0_g1/TRINITY_DN420_c0_g1/TRINITY_DN506_c0_g1/TRINITY_DN5398_c0_g1/TRINITY_DN5975_c0_g1/TRINITY_DN5982_c0_g1/TRINITY_DN6302_c0_g1/TRINITY_DN7695_c0_g1/TRINITY_DN794_c0_g1	34	interaction_vs_self	significant	down	TRUE	5012	map05012	ko,map
map05016	map05016	38/598	77/2403	0.493506493506494	1.98310385266907	5.0458971704403	2.12551799554824e-06	0.000128849155462426	0.000124887665013086	TRINITY_DN1092_c0_g1/TRINITY_DN1151_c0_g1/TRINITY_DN1185_c0_g1/TRINITY_DN1228_c0_g1/TRINITY_DN123_c0_g1/TRINITY_DN1242_c0_g1/TRINITY_DN1329_c0_g1/TRINITY_DN1386_c0_g1/TRINITY_DN1461_c0_g1/TRINITY_DN160_c0_g1/TRINITY_DN1613_c0_g1/TRINITY_DN16577_c0_g1/TRINITY_DN1824_c0_g1/TRINITY_DN18445_c0_g1/TRINITY_DN1880_c0_g1/TRINITY_DN1890_c0_g1/TRINITY_DN1990_c1_g1/TRINITY_DN2153_c0_g1/TRINITY_DN221_c0_g1/TRINITY_DN2290_c0_g1/TRINITY_DN2312_c0_g1/TRINITY_DN28_c1_g1/TRINITY_DN2936_c0_g1/TRINITY_DN3116_c0_g1/TRINITY_DN3236_c0_g1/TRINITY_DN3450_c0_g1/TRINITY_DN3665_c0_g1/TRINITY_DN3903_c0_g1/TRINITY_DN395_c0_g1/TRINITY_DN4048_c0_g1/TRINITY_DN420_c0_g1/TRINITY_DN4305_c0_g1/TRINITY_DN506_c0_g1/TRINITY_DN5398_c0_g1/TRINITY_DN5975_c0_g1/TRINITY_DN6302_c0_g1/TRINITY_DN7695_c0_g1/TRINITY_DN794_c0_g1	38	interaction_vs_self	significant	down	TRUE	5016	map05016	ko,map
map04932	map04932	26/598	45/2403	0.577777777777778	2.32173913043478	5.15084634357254	2.12622368749878e-06	0.000128849155462426	0.000124887665013086	TRINITY_DN1092_c0_g1/TRINITY_DN1228_c0_g1/TRINITY_DN123_c0_g1/TRINITY_DN1329_c0_g1/TRINITY_DN1416_c0_g1/TRINITY_DN160_c0_g1/TRINITY_DN1613_c0_g1/TRINITY_DN16577_c0_g1/TRINITY_DN1824_c0_g1/TRINITY_DN18445_c0_g1/TRINITY_DN1880_c0_g1/TRINITY_DN1890_c0_g1/TRINITY_DN1990_c1_g1/TRINITY_DN2290_c0_g1/TRINITY_DN2936_c0_g1/TRINITY_DN3116_c0_g1/TRINITY_DN3236_c0_g1/TRINITY_DN3450_c0_g1/TRINITY_DN3903_c0_g1/TRINITY_DN395_c0_g1/TRINITY_DN4048_c0_g1/TRINITY_DN420_c0_g1/TRINITY_DN4419_c0_g1/TRINITY_DN5398_c0_g1/TRINITY_DN6302_c0_g1/TRINITY_DN794_c0_g1	26	interaction_vs_self	significant	down	TRUE	4932	map04932	ko,map
map00190	map00190	37/598	75/2403	0.493333333333333	1.98240802675585	4.97427207931262	2.9425134570876e-06	0.000148596929582924	0.000144028290267972	TRINITY_DN1092_c0_g1/TRINITY_DN1151_c0_g1/TRINITY_DN1228_c0_g1/TRINITY_DN123_c0_g1/TRINITY_DN1329_c0_g1/TRINITY_DN1468_c0_g1/TRINITY_DN160_c0_g1/TRINITY_DN1613_c0_g1/TRINITY_DN16577_c0_g1/TRINITY_DN1780_c0_g1/TRINITY_DN1824_c0_g1/TRINITY_DN18445_c0_g1/TRINITY_DN1880_c0_g1/TRINITY_DN1890_c0_g1/TRINITY_DN1990_c1_g1/TRINITY_DN2153_c0_g1/TRINITY_DN2210_c0_g1/TRINITY_DN2290_c0_g1/TRINITY_DN2312_c0_g1/TRINITY_DN2936_c0_g1/TRINITY_DN3116_c0_g1/TRINITY_DN3236_c0_g1/TRINITY_DN3450_c0_g1/TRINITY_DN3548_c0_g1/TRINITY_DN3631_c0_g1/TRINITY_DN3903_c0_g1/TRINITY_DN395_c0_g1/TRINITY_DN3967_c0_g1/TRINITY_DN3985_c0_g1/TRINITY_DN4048_c0_g1/TRINITY_DN420_c0_g1/TRINITY_DN4818_c0_g1/TRINITY_DN506_c0_g1/TRINITY_DN5975_c0_g1/TRINITY_DN6302_c0_g1/TRINITY_DN7695_c0_g1/TRINITY_DN794_c0_g1	37	interaction_vs_self	significant	down	TRUE	190	map00190	ko,map
map00020	map00020	20/598	34/2403	0.588235294117647	2.36376155813496	4.60886368065832	2.31648786756894e-05	0.00100270831981913	0.000971879872258247	TRINITY_DN1001_c0_g1/TRINITY_DN1110_c0_g1/TRINITY_DN1567_c0_g1/TRINITY_DN1613_c0_g1/TRINITY_DN1685_c0_g1/TRINITY_DN18445_c0_g1/TRINITY_DN1961_c0_g1/TRINITY_DN2526_c0_g1/TRINITY_DN2526_c0_g2/TRINITY_DN3050_c0_g1/TRINITY_DN3101_c0_g1/TRINITY_DN3823_c0_g1/TRINITY_DN4118_c0_g1/TRINITY_DN4550_c0_g1/TRINITY_DN4691_c0_g1/TRINITY_DN8_c0_g1/TRINITY_DN8475_c0_g1/TRINITY_DN855_c0_g1/TRINITY_DN943_c0_g1/TRINITY_DN968_c0_g1	20	interaction_vs_self	significant	down	TRUE	20	map00020	ko,map
map01230	map01230	53/598	135/2403	0.392592592592593	1.57759197324415	3.97525505754985	0.000103103071579418	0.00390502883607047	0.00378496802245496	TRINITY_DN10865_c0_g1/TRINITY_DN10887_c0_g1/TRINITY_DN1110_c0_g1/TRINITY_DN1173_c0_g1/TRINITY_DN1252_c0_g1/TRINITY_DN127_c0_g1/TRINITY_DN12728_c0_g1/TRINITY_DN14021_c1_g1/TRINITY_DN1538_c0_g1/TRINITY_DN1543_c0_g1/TRINITY_DN15894_c0_g1/TRINITY_DN16377_c0_g1/TRINITY_DN1689_c0_g1/TRINITY_DN1709_c0_g1/TRINITY_DN17878_c0_g1/TRINITY_DN17929_c0_g1/TRINITY_DN183_c0_g1/TRINITY_DN1854_c0_g1/TRINITY_DN1961_c0_g1/TRINITY_DN1984_c0_g1/TRINITY_DN1989_c0_g1/TRINITY_DN2347_c0_g1/TRINITY_DN2413_c0_g1/TRINITY_DN2526_c0_g1/TRINITY_DN2526_c0_g2/TRINITY_DN2731_c0_g1/TRINITY_DN2759_c0_g1/TRINITY_DN2787_c0_g1/TRINITY_DN2810_c0_g1/TRINITY_DN2879_c0_g1/TRINITY_DN2952_c0_g1/TRINITY_DN3016_c0_g1/TRINITY_DN3050_c0_g1/TRINITY_DN3079_c0_g1/TRINITY_DN3823_c0_g1/TRINITY_DN4181_c0_g1/TRINITY_DN4199_c0_g1/TRINITY_DN4340_c0_g1/TRINITY_DN4376_c0_g1/TRINITY_DN4654_c0_g1/TRINITY_DN4655_c0_g1/TRINITY_DN496_c0_g1/TRINITY_DN5321_c1_g1/TRINITY_DN5682_c0_g1/TRINITY_DN582_c1_g1/TRINITY_DN590_c0_g1/TRINITY_DN592_c0_g1/TRINITY_DN6741_c1_g1/TRINITY_DN693_c0_g1/TRINITY_DN8_c0_g1/TRINITY_DN886_c0_g1/TRINITY_DN968_c0_g1/TRINITY_DN99_c0_g1	53	interaction_vs_self	significant	down	TRUE	1230	map01230	ko,map
map04260	map04260	10/598	15/2403	0.666666666666667	2.67892976588629	3.75369937048324	0.000734540034404809	0.0233994760484653	0.0226800549505709	TRINITY_DN1092_c0_g1/TRINITY_DN123_c0_g1/TRINITY_DN1329_c0_g1/TRINITY_DN160_c0_g1/TRINITY_DN1890_c0_g1/TRINITY_DN2290_c0_g1/TRINITY_DN2936_c0_g1/TRINITY_DN3116_c0_g1/TRINITY_DN6302_c0_g1/TRINITY_DN794_c0_g1	10	interaction_vs_self	significant	down	TRUE	4260	map04260	ko,map
map00250	map00250	21/598	44/2403	0.477272727272727	1.91787017330496	3.53624312113576	0.000772259935592915	0.0233994760484653	0.0226800549505709	TRINITY_DN1029_c2_g1/TRINITY_DN10646_c1_g1/TRINITY_DN10865_c0_g1/TRINITY_DN12265_c0_g1/TRINITY_DN1242_c0_g1/TRINITY_DN12483_c0_g1/TRINITY_DN13118_c0_g1/TRINITY_DN1315_c0_g1/TRINITY_DN1531_c0_g1/TRINITY_DN1670_c0_g1/TRINITY_DN2150_c0_g1/TRINITY_DN2760_c0_g1/TRINITY_DN3331_c0_g1/TRINITY_DN393_c0_g1/TRINITY_DN4125_c0_g1/TRINITY_DN5237_c0_g1/TRINITY_DN5321_c1_g1/TRINITY_DN5682_c0_g1/TRINITY_DN749_c0_g1/TRINITY_DN8983_c0_g1/TRINITY_DN99_c0_g1	21	interaction_vs_self	significant	down	TRUE	250	map00250	ko,map
