ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_numeric_id	pathway_name	raw_prefixes_observed
map00511	map00511	7/379	14/2403	0.5	3.17018469656992	3.52333138191911	0.00288196495251162	0.497282693385691	0.489041439497857	TRINITY_DN14385_c0_g1/TRINITY_DN17611_c0_g1/TRINITY_DN3417_c0_g1/TRINITY_DN486_c0_g1/TRINITY_DN5083_c0_g1/TRINITY_DN587_c0_g1/TRINITY_DN674_c0_g1	7	interaction_vs_self	significant	up	FALSE	511	map00511	ko,map
map00053	map00053	8/379	19/2403	0.421052631578947	2.66962921816414	3.16114606572678	0.00541243683075705	0.497282693385691	0.489041439497857	TRINITY_DN1115_c0_g1/TRINITY_DN16298_c0_g1/TRINITY_DN16322_c0_g1/TRINITY_DN2794_c0_g1/TRINITY_DN3804_c0_g1/TRINITY_DN4141_c0_g1/TRINITY_DN4938_c0_g1/TRINITY_DN5019_c0_g1	8	interaction_vs_self	significant	up	FALSE	53	map00053	ko,map
map00280	map00280	15/379	49/2403	0.306122448979592	1.94092940606322	2.87907318464276	0.00635596916029657	0.497282693385691	0.489041439497857	TRINITY_DN1115_c0_g1/TRINITY_DN14324_c0_g1/TRINITY_DN17611_c0_g1/TRINITY_DN2128_c0_g1/TRINITY_DN2378_c0_g1/TRINITY_DN2794_c0_g1/TRINITY_DN3814_c0_g1/TRINITY_DN3896_c0_g1/TRINITY_DN39_c0_g1/TRINITY_DN4021_c0_g1/TRINITY_DN4645_c0_g1/TRINITY_DN4850_c0_g1/TRINITY_DN4938_c0_g1/TRINITY_DN5019_c0_g1/TRINITY_DN8903_c0_g1	15	interaction_vs_self	significant	up	FALSE	280	map00280	ko,map
map03320	map03320	9/379	24/2403	0.375	2.37763852242744	2.93457038599647	0.00789551310134577	0.497282693385691	0.489041439497857	TRINITY_DN14198_c0_g1/TRINITY_DN17611_c0_g1/TRINITY_DN2128_c0_g1/TRINITY_DN2378_c0_g1/TRINITY_DN2403_c0_g1/TRINITY_DN3896_c0_g1/TRINITY_DN5307_c0_g1/TRINITY_DN5354_c0_g1/TRINITY_DN661_c0_g1	9	interaction_vs_self	significant	up	FALSE	3320	map03320	ko,map
map00500	map00500	18/379	65/2403	0.276923076923077	1.75579460117719	2.67263137635444	0.00926905088875576	0.497282693385691	0.489041439497857	TRINITY_DN10644_c0_g1/TRINITY_DN10987_c0_g1/TRINITY_DN11443_c0_g1/TRINITY_DN1264_c0_g1/TRINITY_DN1359_c0_g1/TRINITY_DN15920_c0_g1/TRINITY_DN15996_c0_g1/TRINITY_DN2435_c0_g1/TRINITY_DN2554_c0_g1/TRINITY_DN36_c0_g1/TRINITY_DN5016_c0_g1/TRINITY_DN5830_c0_g1/TRINITY_DN6033_c0_g2/TRINITY_DN674_c0_g1/TRINITY_DN763_c0_g1/TRINITY_DN9_c0_g2/TRINITY_DN9044_c0_g1/TRINITY_DN9113_c0_g1	18	interaction_vs_self	significant	up	FALSE	500	map00500	ko,map
map00520	map00520	17/379	62/2403	0.274193548387097	1.73848838198996	2.54882288379988	0.0125344933446701	0.497282693385691	0.489041439497857	TRINITY_DN14164_c0_g1/TRINITY_DN14184_c0_g1/TRINITY_DN15808_c0_g1/TRINITY_DN1682_c0_g1/TRINITY_DN172_c0_g1/TRINITY_DN17611_c0_g1/TRINITY_DN2937_c0_g1/TRINITY_DN3550_c0_g1/TRINITY_DN3836_c0_g1/TRINITY_DN4025_c0_g1/TRINITY_DN4201_c0_g1/TRINITY_DN4249_c0_g1/TRINITY_DN486_c0_g1/TRINITY_DN5677_c0_g1/TRINITY_DN5830_c0_g1/TRINITY_DN6571_c0_g1/TRINITY_DN9_c0_g2	17	interaction_vs_self	significant	up	FALSE	520	map00520	ko,map
map00410	map00410	11/379	35/2403	0.314285714285714	1.99268752355824	2.55950857646316	0.0150826643846247	0.497282693385691	0.489041439497857	TRINITY_DN1115_c0_g1/TRINITY_DN14362_c0_g1/TRINITY_DN17611_c0_g1/TRINITY_DN2794_c0_g1/TRINITY_DN3814_c0_g1/TRINITY_DN3896_c0_g1/TRINITY_DN39_c0_g1/TRINITY_DN4021_c0_g1/TRINITY_DN4938_c0_g1/TRINITY_DN5019_c0_g1/TRINITY_DN8903_c0_g1	11	interaction_vs_self	significant	up	FALSE	410	map00410	ko,map
map00030	map00030	9/379	27/2403	0.333333333333333	2.11345646437995	2.51728714118612	0.0182856722077691	0.497282693385691	0.489041439497857	TRINITY_DN137_c0_g1/TRINITY_DN14484_c0_g1/TRINITY_DN16298_c0_g1/TRINITY_DN3470_c0_g1/TRINITY_DN3804_c0_g1/TRINITY_DN568_c0_g1/TRINITY_DN5830_c0_g1/TRINITY_DN674_c0_g1/TRINITY_DN8876_c0_g1	9	interaction_vs_self	significant	up	FALSE	30	map00030	ko,map
map05164	map05164	9/379	27/2403	0.333333333333333	2.11345646437995	2.51728714118612	0.0182856722077691	0.497282693385691	0.489041439497857	TRINITY_DN1008_c0_g1/TRINITY_DN1075_c0_g1/TRINITY_DN3029_c0_g1/TRINITY_DN3070_c0_g1/TRINITY_DN31_c0_g1/TRINITY_DN3821_c0_g1/TRINITY_DN577_c0_g1/TRINITY_DN6381_c0_g1/TRINITY_DN6594_c0_g1	9	interaction_vs_self	significant	up	FALSE	5164	map05164	ko,map
map00130	map00130	5/379	11/2403	0.454545454545455	2.88198608779084	2.70665570713743	0.0193002818244982	0.497282693385691	0.489041439497857	TRINITY_DN12464_c0_g1/TRINITY_DN1619_c0_g1/TRINITY_DN2569_c0_g1/TRINITY_DN4684_c0_g1/TRINITY_DN580_c0_g1	5	interaction_vs_self	significant	up	FALSE	130	map00130	ko,map
map00071	map00071	12/379	41/2403	0.292682926829268	1.85571787116288	2.3910212518399	0.0203062984316468	0.497282693385691	0.489041439497857	TRINITY_DN1115_c0_g1/TRINITY_DN17611_c0_g1/TRINITY_DN2128_c0_g1/TRINITY_DN2378_c0_g1/TRINITY_DN2770_c0_g1/TRINITY_DN2794_c0_g1/TRINITY_DN3896_c0_g1/TRINITY_DN4632_c0_g1/TRINITY_DN4938_c0_g1/TRINITY_DN5019_c0_g1/TRINITY_DN661_c0_g1/TRINITY_DN8903_c0_g1	12	interaction_vs_self	significant	up	FALSE	71	map00071	ko,map
map00982	map00982	11/379	37/2403	0.297297297297297	1.88497468444698	2.3470654031492	0.0230166011363249	0.497282693385691	0.489041439497857	TRINITY_DN1115_c0_g1/TRINITY_DN1372_c0_g1/TRINITY_DN1400_c0_g1/TRINITY_DN268_c0_g1/TRINITY_DN2770_c0_g1/TRINITY_DN3223_c0_g1/TRINITY_DN4632_c0_g1/TRINITY_DN4802_c0_g1/TRINITY_DN4938_c0_g1/TRINITY_DN5019_c0_g1/TRINITY_DN5915_c0_g1	11	interaction_vs_self	significant	up	FALSE	982	map00982	ko,map
