contrast	ID	historical_description	rebuilt_description	direction	ontology	historical_gene_ratio	rebuilt_gene_ratio	historical_bg_ratio	rebuilt_bg_ratio	historical_fold_enrichment	rebuilt_fold_enrichment	historical_p_adjust	rebuilt_p_adjust	historical_count	rebuilt_count	comparison_status
interaction_vs_self	GO:0008643	carbohydrate transport	carbohydrate transport	down	BP	27/807	38/915	48/4680	48/3113	3.26208178438662	2.6933970856102	9.44328371270537e-08	5.044683599524029e-11	27	38	exact_GO_ID_reproduced
interaction_vs_self	GO:0006810	transport	transport	down	BP	62/807	96/915	205/4680	204/3113	1.75392147973524	1.60102860816458	7.44111400989905e-05	7.43093372195732e-07	62	96	exact_GO_ID_reproduced
interaction_vs_self	GO:0016021	integral to membrane	integral to membrane	down	CC	81/807	119/584	270/4680	268/1791	1.73977695167286	1.36174223062768	3.55368144371837e-06	0.0001118739729113	81	119	exact_GO_ID_reproduced
interaction_vs_self	GO:0016020	membrane	membrane	down	CC	83/807	125/584	319/4680	318/1791	1.50889746069851	1.20549560609977	0.0008643630343926	0.0230576307309115	83	125	exact_GO_ID_reproduced
interaction_vs_self	GO:0005351	sugar:hydrogen symporter activity	sugar:hydrogen symporter activity	down	MF	27/807	38/1321	48/4680	48/4328	3.26208178438662	2.59374211455968	9.44328371270537e-08	1.67950635849095e-09	27	38	exact_GO_ID_reproduced
interaction_vs_self	GO:0005215	transporter activity	transporter activity	down	MF	41/807	58/1321	94/4680	93/4328	2.52946294392154	2.0432875062066	1.07914133234615e-07	3.3108369373419e-08	41	58	exact_GO_ID_reproduced
interaction_vs_onu	GO:0008643	carbohydrate transport	carbohydrate transport	down	BP	28/628	35/825	48/4680	48/3113	4.34713375796178	2.75138888888889	2.3779015597166597e-11	9.04399694310542e-10	28	35	exact_GO_ID_reproduced
interaction_vs_onu	GO:0006810	transport	transport	down	BP	66/628	93/825	205/4680	204/3113	2.39925431101445	1.72019607843137	6.716311183348719e-11	3.31528232903304e-08	66	93	exact_GO_ID_reproduced
interaction_vs_onu	GO:0006865	amino acid transport	amino acid transport	down	BP	14/628	27/825	44/4680	44/3113	2.37116386797915	2.31545454545455	0.0192527795111584	2.65342895615967e-05	14	27	exact_GO_ID_reproduced
interaction_vs_onu	GO:0015931	nucleobase, nucleoside, nucleotide and nucleic acid transport	nucleobase, nucleoside, nucleotide and nucleic acid transport	down	BP	8/628	11/825	15/4680	14/3113	3.97452229299363	2.9647619047619	0.0049768988210945	0.0011823085968525	8	11	exact_GO_ID_reproduced
interaction_vs_onu	GO:0016020	membrane	membrane	down	CC	83/628	125/483	319/4680	318/1791	1.93898129105685	1.45757646783077	1.73369916911214e-08	2.23495871644899e-06	83	125	exact_GO_ID_reproduced
interaction_vs_onu	GO:0016021	integral to membrane	integral to membrane	down	CC	70/628	99/483	270/4680	268/1791	1.93205944798301	1.36977380179846	4.20041900171902e-07	0.000643585237514	70	99	exact_GO_ID_reproduced
interaction_vs_onu	GO:0005215	transporter activity	transporter activity	down	MF	43/628	59/1166	94/4680	93/4328	3.4089985092831	2.35482026595843	3.28205342385262e-12	4.7401170810987294e-11	43	59	exact_GO_ID_reproduced
interaction_vs_onu	GO:0005351	sugar:hydrogen symporter activity	sugar:hydrogen symporter activity	down	MF	28/628	35/1166	48/4680	48/4328	4.34713375796178	2.70654659805603	2.3779015597166597e-11	7.54552346859316e-09	28	35	exact_GO_ID_reproduced
interaction_vs_onu	GO:0015171	amino acid transmembrane transporter activity	amino acid transmembrane transporter activity	down	MF	14/628	25/1166	42/4680	42/4328	2.48407643312102	2.20942579433145	0.012124904559532	0.0009522919099548	14	25	exact_GO_ID_reproduced
interaction_vs_onu	GO:0004497	monooxygenase activity	monooxygenase activity	down	MF	24/628	37/1166	75/4680	75/4328	2.38471337579618	1.83117209834191	0.0006425750857631	0.002326001026142	24	37	exact_GO_ID_reproduced
interaction_vs_onu	GO:0015205	nucleobase transmembrane transporter activity	nucleobase transmembrane transporter activity	down	MF	8/628	11/1166	15/4680	14/4328	3.97452229299363	2.91644204851752	0.0049768988210945	0.0054020148009545	8	11	exact_GO_ID_reproduced
interaction_vs_onu	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	hydrolase activity, hydrolyzing O-glycosyl compounds	down	MF	27/628	35/1166	80/4680	78/4328	2.51512738853503	1.66556713726525	7.01252090710108e-05	0.0257538556609761	27	35	exact_GO_ID_reproduced
onu_vs_self	GO:0016020	membrane	membrane	up	CC	49/467	105/462	319/4680	318/1791	1.53933934337095	1.28001715265866	0.0400138748470153	0.011207068265459	49	105	exact_GO_ID_reproduced
onu_vs_self	GO:0016491	oxidoreductase activity	oxidoreductase activity	up	MF	67/467	146/1217	372/4680	372/4328	1.80493196104165	1.39574663591946	7.27997163047538e-05	0.0003265750214926	67	146	exact_GO_ID_reproduced
