organism	direction	cog	foreground_hits	foreground_size	foreground_percent	background_hits	background_size	background_percent	enrichment_ratio	odds_ratio	pvalue	padj	cog_name	category_label	negative_log10_padj
Fusarium	Induced	G	130	1213	10.717230008244023	570	6920	8.236994219653178	1.301109327316643	1.4368126519339086	4.729555052062959e-4	0.011350932124951103	Carbohydrate transport and metabolism	G · Carbohydrate transport and metabolism	1.9449684732637464
Fusarium	Induced	P	71	1213	5.85325638911789	305	6920	4.407514450867052	1.328017515170354	1.4540360139985025	0.005434739183050087	0.06521687019660105	Inorganic-ion transport and metabolism	P · Inorganic-ion transport and metabolism	1.185640047127132
Fusarium	Repressed	J	145	1219	11.894995898277276	366	6920	5.289017341040463	2.248999224483026	3.346954926668683	1.1994590111375792e-24	2.87870162673019e-23	Translation and ribosome biogenesis	J · Translation and ribosome biogenesis	22.540803346785648
Fusarium	Repressed	C	104	1219	8.531583264971289	382	6920	5.520231213872832	1.5455119422408723	1.8192726674491186	1.027515129208786e-6	1.2330181550505433e-5	Energy production and conversion	C · Energy production and conversion	4.909030528773107
Fusarium	Repressed	E	119	1219	9.762100082034454	515	6920	7.442196531791907	1.3117229624791926	1.4491667633960994	5.929408162054414e-4	0.004743526529643531	Amino-acid transport and metabolism	E · Amino-acid transport and metabolism	2.3238986661499013
Fusarium	Repressed	H	52	1219	4.265791632485644	205	6920	2.96242774566474	1.439964785209788	1.6156291279406982	0.002970036465800749	0.017820218794804492	Coenzyme transport and metabolism	H · Coenzyme transport and metabolism	1.7490869680436487
Fusarium	Repressed	Z	35	1219	2.871205906480722	139	6920	2.008670520231214	1.4294061059601866	1.5907580566228539	0.014860194899903612	0.07132893551953734	Cytoskeleton	Z · Cytoskeleton	1.1467342571434913
Fusarium	Repressed	W	5	1219	0.41017227235438886	10	6920	0.14450867052023122	2.8383921246923705	4.690448998995117	0.01941546722965554	0.07766186891862216	Extracellular structures	W · Extracellular structures	1.1097921624472153
Ophiostoma	Induced	I	130	2220	5.8558558558558556	277	7011	3.950934246184567	1.4821445994731193	1.9649032782107043	4.4657558419971264e-8	1.0717814020793104e-6	Lipid transport and metabolism	I · Lipid transport and metabolism	5.9698937832547205
Ophiostoma	Induced	C	127	2220	5.7207207207207205	284	7011	4.050777349878762	1.4122525694708794	1.7907233519354355	1.7362462810001593e-6	2.083495537200191e-5	Energy production and conversion	C · Energy production and conversion	4.681207425454558
Ophiostoma	Induced	O	199	2220	8.963963963963964	498	7011	7.103123662815576	1.2619749267339628	1.4792313978000815	3.0392414191711497e-5	2.4313931353369197e-4	Post-translational modification and protein turnover	O · Post-translational modification and protein turnover	3.6141448138002636
Ophiostoma	Induced	Z	58	2220	2.6126126126126126	128	7011	1.8257024675509912	1.4310177364864864	1.809024454226603	7.57909232418112e-4	0.003864892905662106	Cytoskeleton	Z · Cytoskeleton	2.4128625356717563
Ophiostoma	Induced	U	177	2220	7.972972972972973	460	7011	6.561118242761375	1.2151850763807286	1.3800439346674451	8.051860220129388e-4	0.003864892905662106	Intracellular trafficking and secretion	U · Intracellular trafficking and secretion	2.4128625356717563
Ophiostoma	Induced	M	32	2220	1.4414414414414414	72	7011	1.0269576379974326	1.4036036036036037	1.7369877428283709	0.015014379636535895	0.05937616638600344	Cell wall, membrane and envelope biogenesis	M · Cell wall, membrane and envelope biogenesis	1.2263878459981568
Ophiostoma	Induced	F	41	2220	1.8468468468468469	97	7011	1.3835401511909855	1.3348704374477571	1.5908570309515881	0.017318048529251003	0.05937616638600344	Nucleotide transport and metabolism	F · Nucleotide transport and metabolism	1.2263878459981568
Ophiostoma	Repressed	P	78	1859	4.195804195804196	212	7011	3.0238197118813295	1.3875841139992082	1.639919924432026	5.471023312055497e-4	0.006337555150446762	Inorganic-ion transport and metabolism	P · Inorganic-ion transport and metabolism	2.1980782483401873
Ophiostoma	Repressed	K	113	1859	6.078536847767617	329	7011	4.692625873627157	1.2953380498388682	1.47886771313267	7.921943938058452e-4	0.006337555150446762	Transcription	K · Transcription	2.1980782483401873
Ophiostoma	Repressed	B	50	1859	2.6896180742334588	136	7011	1.9398088717729283	1.386537670474322	1.6280388008754871	0.005167791056044628	0.031006746336267765	Chromatin structure and dynamics	B · Chromatin structure and dynamics	1.5085438036543448
Ophiostoma	Repressed	Q	107	1859	5.755782678859602	328	7011	4.678362573099415	1.23029854760624	1.3626111923886342	0.006949181206224449	0.03335606978987735	Secondary-metabolite biosynthesis and transport	Q · Secondary-metabolite biosynthesis and transport	1.4768251261734395
Ophiostoma	Repressed	G	144	1859	7.746100053792362	460	7011	6.561118242761375	1.1806066842856142	1.2849537932832389	0.01011617644430087	0.04046470577720348	Carbohydrate transport and metabolism	G · Carbohydrate transport and metabolism	1.3929236130572076
